GEOID,tract_name,population
17091011300,Census Tract 113,2091
17107953000,Census Tract 9530,2365
17107953100,Census Tract 9531,3103
17037000700,Census Tract 7,3694
17037000900,Census Tract 9,4960
17037001600,Census Tract 16,4383
17037000500,Census Tract 5,4070
17131040100,Census Tract 401,4518
17131040200,Census Tract 402,3518
17131040400,Census Tract 404,3880
17161022800,Census Tract 228,5335
17161023000,Census Tract 230,3998
17161022900,Census Tract 229,2815
17043846524,Census Tract 8465.24,4709
17171970600,Census Tract 9706,1685
17171970700,Census Tract 9707,3264
17043842703,Census Tract 8427.03,4039
17037000600,Census Tract 6,5919
17043846314,Census Tract 8463.14,3332
